Informal ,formal 
எழும்புவாங்க,எழுவார்கள்
எலும்புவீங்க,எழுவீர்கள்
எலும்புறேன்,எழுகிறேன்
எழும்புற,எழுகின்ற
எலும்பிச்சி,எழுந்தது
எலும்பும்,எழும்
எழும்புது,எழுகின்றது
எலும்புறாங்க,எழுகின்றனர்
எலும்புறீங்க,எழுகிறீர்கள்
எலும்பினீங்க,எழுந்தீர்கள்
எழுப்புவேன்,எழுவேன்
எழும்பினேன்,எழுந்தேன்
எலும்புறான்,எழுகின்றான்
எலும்புறாள்,எழுகிறாள்
பேசுங்க,பேசுங்கள்
பேசினாங்க,பேசினார்கள்
பேசிச்சி,பேசியது
பேசுவீங்க,பேசுவீர்கள்
பேசுறாங்க,பேசுகிறார்கள்
பேசுவாங்க,பேசுவார்கள்
பேசுது,பேசுகின்றது
பேசினீங்க,பேசினீர்கள்
பேசுவீங்க,பேசுவீர்கள்
அலூர,அழுதல்
அலூது,அழுகின்றது
அழுவீங்க,அழுவீர்கள்
அழுவாங்க,அழுவார்கள்
அழூறாங்க,அழுகின்றனர்
அலூரான்,அழுகிறான்
அலூராள்,அழுகிறாள்
அழுதிச்சி,அழுதது
அழுதீங்க,அழுதீர்கள்
அழுதாங்க,அழுதார்கள்
அழுவீங்க,அழுவீர்கள்
அழூறேன்,அழுகிறேன்
நடிக்கிற,நடிக்கின்ற
நடிச்சுற,நடிக்கின்ற
நடிச்சுறான்,நடிக்கிறான்
நடிச்சுறாள்,நடிக்கிறாள்
நடிச்சேன்,நடித்தேன்
நடிச்சுறேன்,நடிக்கிறேன்
நடிச்சுவேன்,நடிப்பேன்
நடிச்சுறாங்க,நடிக்கிறார்கள்
நடிச்சாங்க,நடித்தார்கள்
நடிச்சுவாங்க,நடிப்பார்கள்
நடிசீங்க,நடித்தீர்கள்
நாடிசுறீங்க,நடிக்கிறீர்கள்
நடிச்சுவீங்க,நடிப்பீர்கள்
நடிச்சிச்சி,நடித்தது
நடிச்சும்,நடிக்கும்
நடிச்சுறான்,நடிக்கிறான்
நடிச்சுறாள்,நடிக்கிறாள்
நடிச்சுவான்,நடிப்பான்
நடிச்சுவாள்,நடிப்பாள்
நடிச்சுது,நடிக்கின்றது
முடிஞ்சி,முடிந்தது
கடிச்ச,கடித்த
கடிச்சான்,கடித்தான்
கடிச்சால்,கடித்தாள்
கடிச்சிச்சி,கடித்தது
கடிச்சும்,கடிக்கும்
கடிச்சுது,கண்டிக்கின்றது
கடிச்சாங்க,கடித்தார்கள்
கடிச்சுறாங்க,கடிக்கிறார்கள்
கடிச்சுவாங்க,கடிப்பார்கள்
கடிக்கிறீங்க,கடிக்கிறீர்கள்
கடிப்பீங்க,கடிப்பீர்கள்
கடிசீங்க,கடித்தீர்கள்
கடிச்சேன்,கடித்தேன்
கடிச்சுவேன்,கடிப்பேன்
கடிச்சுறேன்,கடிக்கிறேன்
கடிச்சுறான்,கடிக்கின்றான்
கடிச்சுறாள்,கடிக்கின்றாள்
கடிச்சுவான்,கடிப்பான்
கடிச்சுவாள்,கடிப்பாள்
கடிச்சுது,கடிக்கின்றது
கேட்டிச்சி,கேட்டது
கேப்பாங்க,கேப்பார்கள்
கேக்குறீங்க,கேட்கின்றீர்கள்
கேப்பீங்க,கேட்பீர்கள்
கேக்குறாங்க,கேட்கின்றார்கள்
கேட்டீங்க,கேட்டீர்கள்
கேப்பேன்,கேட்பேன்
கேக்கும்,கேட்கும்
கேக்குறான்,கேட்கின்றான்
கேக்குறான்,கேட்கிறாள்
கேப்பான்,கேட்பான்
கேப்பாள்,கேட்பாள்
கேட்டாங்க,கேட்டார்கள்
கேக்குறேன்,கேட்கின்றேன்
கேக்குது,கேட்கின்றது
விளையாட்ற,விளையாடல்
வெலாட்ற,விளையாடுதல்
வெளாடினேன்,விளையாடினேன்
வெளாடுவேன்,விளையாடுவேன்
வெளாடறேன்,விளையாடுகிறேன்
வேலாடினாங்க,விளையாடினார்கள்
வெளாடறாங்க,விளையாடுறார்கள்
வேலாடுவாங்க,விளையாடுவார்கள்
வெளாடினீங்க,விளையாடினீர்கள்
வெளாடறீங்க,விளையாடுறீர்கள்
வெளாடுவீங்க,விளையாடுவீர்கள்
வெளாடிச்சி,விளையாடியது
வெளாடும்,விளையாடும்
வெலாடுது,விளையாடுகிறது
வெலாடினான்,விளையாடினான்
வெலாற்றான்,விளையாடுகிறான்
வெலாடுவான்,விளையாடுவான்
வெலாடினால்,விளையாடினாள்
வெலாற்றால்,விளையாடுகிறாள்
வெளாடுவாள்,விளையாடுவாள்
படிச்சுற,படித்தல்
இழுக்குற,இழுத்தல்
இழுக்குறான்,இழுக்கிறான்
இழுக்குறாள்,இழுக்கிறாள்
இழுக்குது,இழுக்கிறது
இழுத்திச்சி,இழுத்தது
இழுக்குறாங்க,இழுக்கிறார்கள்
இழுத்தாங்க,இழுத்தார்கள்
இழுப்பாங்க,இழுப்பார்கள்
இழுப்பீங்க,இழப்பீர்கள்
இழுக்குறீங்க,இழுக்கின்றீர்கள்
இழுப்பீங்க,இழப்பீர்கள்
இழுக்குறேன்,இழுக்கின்றேன்
இழுக்குறான்,இழுக்கிறான்
இழுக்குறாள்,இழுக்கின்றாள்
குடிச்ச,குடித்தல்
குடிச்சான்,குடித்தான்
குடிச்சுவான்,குடிப்பான்
குடிச்சுறான்,குடிக்கிறான்
குடிச்சாள்,குடித்தாள்
குடிச்சுறாள்,குடிக்கின்றாள்
குடிச்சுவாள்,குடிப்பாள்
குடிச்சிச்சி,குடித்தது
குடிச்சும்,குடிக்கும்
குடிச்சுது,குடிக்கின்றது
குடிச்சுறாங்க,குடிக்கிறார்கள்
குடிச்சுவாங்க,குடிப்பார்கள்
குடிச்சாங்க,குடித்தார்கள்
குடிப்பீங்க,குடிப்பீர்கள்
குடிக்கிறீங்க,குடிக்கின்றீர்கள்
குடிசீங்க,குடித்தீர்கள்
குடிச்சேன்,குடித்தேன்
குடிச்சுறேன்,குடிக்கிறேன்
குடிச்சுவேன்,குடிப்பேன்
கேக்குற,கேட்டல்
கேக்குறேன்,கேட்கின்றேன்
கேப்பேன்,கேட்பேன்
கேட்டிச்சி,கேட்டது
கேக்கும்,கேட்கும்
கேக்குது,கேட்கின்றது
கேட்பாங்க,கேட்பார்கள்
கேக்குறாங்க,கேட்கிறார்கள்
கேட்டாங்க,கேட்டார்கள்
கேட்டீங்க,கேட்டீர்கள்
